"Name", Height (Inches), Height(Feet-Inches), Weight
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Mark Acres", 83, 6-11, 220
"Michael Adams", 70, 5-10, 162
"Mark Aguirre", 78, 6-6, 232
"Danny Ainge", 76, 6-4, 175
"Mark Alarie", 80, 6-8, 217
"Steve Alford", 74, 6-2, 183
"Randy Allen", 80, 6-8, 220
"Greg Anderson", 82, 6-10, 230
"Michael Anderson", 71, 5-11, 184
"Richard Anderson", 82, 6-10, 240
"Ron Anderson", 79, 6-7, 215
"Willie Anderson", 79, 6-7, 190
"John Bagley", 72, 6-0, 185
"Thurl Bailey", 83, 6-11, 215
"Greg Ballard", 79, 6-7, 215
"Ken Bannister", 81, 6-9, 235
"Charles Barkley", 78, 6-6, 252
"John Battle", 74, 6-2, 175
"Benoit Benjamin", 84, 7-0, 250
"Ricky Berry", 80, 6-8, 205
"Walter Berry", 80, 6-8, 215
"Larry Bird", 81, 6-9, 220
"Otis Birdsong", 75, 6-3, 190
"Uwe Blab", 85, 7-1, 252
"Rolando Blackman", 78, 6-6, 190
"Muggsy Bogues", 63, 5-3, 136
"Manute Bol", 91, 7-7, 200
"Anthony Bowie", 78, 6-6, 190
"Sam Bowie", 85, 7-1, 235
"Dudley Bradley", 78, 6-6, 195
"Adrian Branch", 79, 6-7, 185
"Randy Breuer", 87, 7-3, 230
"Frank Brickowski", 81, 6-9, 240
"Scott Brooks", 71, 5-11, 165
"Mike Brown", 81, 6-9, 257
"Tony Brown", 78, 6-6, 185
"Mark Bryant", 81, 6-9, 245
"Greg Butler", 83, 6-11, 240
"Michael Cage", 81, 6-9, 224
"Tony Campbell", 79, 6-7, 215
"Antoine Carr", 81, 6-9, 225
"Joe Barry Carroll", 84, 7-0, 225
"Bill Cartwright", 85, 7-1, 245
"Terry Catledge", 80, 6-8, 220
"Ron Cavenall", 85, 7-1, 230
"Tom Chambers", 82, 6-10, 220
"Mike Champion", 82, 6-10, 230
"Rex Chapman", 76, 6-4, 185
"Maurice Cheeks", 73, 6-1, 180
"Derrick Chievous", 79, 6-7, 195
"Ben Coleman", 81, 6-9, 235
"Steve Colter", 75, 6-3, 165
"Dallas Comegys", 81, 6-9, 205
"Lester Conner", 76, 6-4, 180
"Darwin Cook", 75, 6-3, 184
"Michael Cooper", 77, 6-5, 170
"Wayne Cooper", 82, 6-10, 220
"Tyrone Corbin", 78, 6-6, 210
"Dave Corzine", 83, 6-11, 250
"Winston Crite", 79, 6-7, 233
"Pat Cummings", 81, 6-9, 230
"Terry Cummings", 81, 6-9, 220
"Earl Cureton", 81, 6-9, 210
"Dell Curry", 76, 6-4, 190
"Quintin Dailey", 75, 6-3, 180
"Adrian Dantley", 77, 6-5, 208
"Brad Daugherty", 84, 7-0, 245
"Brad Davis", 75, 6-3, 180
"Charles Davis", 79, 6-7, 215
"Mark Davis", 78, 6-6, 195
"Walter Davis", 78, 6-6, 193
"Darryl Dawkins", 83, 6-11, 251
"Johnny Dawkins", 74, 6-2, 165
"Vinny Del Negro", 76, 6-4, 185
"Fennis Dembo", 77, 6-5, 215
"James Donaldson", 86, 7-2, 275
"Greg Dreiling", 85, 7-1, 250
"Clyde Drexler", 79, 6-7, 210
"Kevin Duckworth", 84, 7-0, 275
"Chris Dudley", 83, 6-11, 235
"Joe Dumars", 75, 6-3, 190
"Mike Dunleavy", 75, 6-3, 180
