"Name", Height (Inches), Height(Feet-Inches), Weight
"Shareef Abdur-Rahim", 81, 6-9, 225
"Cory Alexander", 73, 6-1, 185
"Malik Allen", 82, 6-10, 255
"Ray Allen", 77, 6-5, 205
"Tony Allen", 76, 6-4, 213
"Rafer Alston", 74, 6-2, 171
"Chris Andersen", 82, 6-10, 230
"Derek Anderson", 77, 6-5, 194
"Kenny Anderson", 72, 6-0, 168
"Shandon Anderson", 78, 6-6, 208
"Carmelo Anthony", 80, 6-8, 230
"Rafael Araujo", 83, 6-11, 280
"Gilbert Arenas", 75, 6-3, 191
"Trevor Ariza", 80, 6-8, 200
"Darrell Armstrong", 72, 6-0, 170
"Carlos Arroyo", 74, 6-2, 202
"Chucky Atkins", 71, 5-11, 160
"Stacey Augmon", 78, 6-6, 205
"Maurice Baker", 73, 6-1, 175
"Vin Baker", 83, 6-11, 232
"Marcus Banks", 74, 6-2, 200
"Leandro Barbosa", 75, 6-3, 176
"Matt Barnes", 79, 6-7, 235
"Andre Barrett", 70, 5-10, 172
"Brent Barry", 78, 6-6, 185
"Jon Barry", 76, 6-4, 195
"Tony Battie", 83, 6-11, 230
"Shane Battier", 80, 6-8, 220
"Lonny Baxter", 80, 6-8, 260
"Raja Bell", 77, 6-5, 204
"Jonathan Bender", 83, 6-11, 202
"Travis Best", 71, 5-11, 182
"Mike Bibby", 73, 6-1, 190
"Andris Biedrins", 83, 6-11, 240
"Chauncey Billups", 75, 6-3, 202
"Steve Blake", 75, 6-3, 172
"Mark Blount", 84, 7-0, 230
"Tony Bobbitt", 76, 6-4, 190
"Keith Bogans", 77, 6-5, 215
"Matt Bonner", 82, 6-10, 240
"Calvin Booth", 83, 6-11, 230
"Carlos Boozer", 81, 6-9, 258
"Curtis Borchardt", 84, 7-0, 240
"Chris Bosh", 82, 6-10, 228
"Bruce Bowen", 79, 6-7, 185
"Ryan Bowen", 79, 6-7, 215
"Earl Boykins", 65, 5-5, 135
"Michael Bradley", 82, 6-10, 245
"Shawn Bradley", 90, 7-6, 235
"Torraye Braggs", 80, 6-8, 245
"Elton Brand", 80, 6-8, 275
"Jamison Brewer", 76, 6-4, 184
"Primoz Brezec", 86, 7-2, 252
"Damone Brown", 81, 6-9, 200
"Devin Brown", 77, 6-5, 220
"Kedrick Brown", 79, 6-7, 222
"Kwame Brown", 83, 6-11, 270
"P.J. Brown", 83, 6-11, 225
"Tierre Brown", 74, 6-2, 189
"Rick Brunson", 76, 6-4, 190
"Kobe Bryant", 78, 6-6, 200
"Greg Buckner", 76, 6-4, 210
"Rodney Buford", 77, 6-5, 189
"Antonio Burks", 73, 6-1, 200
"Caron Butler", 79, 6-7, 217
"Jackie Butler", 82, 6-10, 250
"Rasual Butler", 79, 6-7, 205
"Zarko Cabarkapa", 83, 6-11, 235
"Marcus Camby", 83, 6-11, 220
"Elden Campbell", 83, 6-11, 215
"Brian Cardinal", 80, 6-8, 245
"Geno Carlisle", 75, 6-3, 180
"Matt Carroll", 78, 6-6, 212
"Anthony Carter", 73, 6-1, 190
"Vince Carter", 78, 6-6, 215
"Sam Cassell", 75, 6-3, 185
"Kelvin Cato", 83, 6-11, 255
"Lionel Chalmers", 72, 6-0, 180
"Tyson Chandler", 85, 7-1, 235
"Calbert Cheaney", 79, 6-7, 209
"Josh Childress", 80, 6-8, 210
"Doug Christie", 78, 6-6, 200
"Speedy Claxton", 71, 5-11, 166
"Mateen Cleaves", 74, 6-2, 205
"Derrick Coleman", 82, 6-10, 230
"Jason Collier", 84, 7-0, 260
"Jarron Collins", 83, 6-11, 255
"Jason Collins", 84, 7-0, 255
"Nick Collison", 81, 6-9, 255
"Brian Cook", 81, 6-9, 234
"Omar Cook", 73, 6-1, 190
"Jamal Crawford", 78, 6-6, 185
"Austin Croshere", 81, 6-9, 235
"Eddy Curry", 84, 7-0, 295
"Michael Curry", 77, 6-5, 210
"Samuel Dalembert", 83, 6-11, 250
"Erick Dampier", 83, 6-11, 265
"Antonio Daniels", 76, 6-4, 195
"Erik Daniels", 80, 6-8, 214
"Marquis Daniels", 78, 6-6, 200
"Antonio Davis", 81, 6-9, 215
"Baron Davis", 75, 6-3, 209
"Dale Davis", 83, 6-11, 230
"Josh Davis", 80, 6-8, 235
"Ricky Davis", 78, 6-6, 195
"Andrew DeClercq", 82, 6-10, 230
"Carlos Delfino", 78, 6-6, 230
"Tony Delk", 73, 6-1, 189
"Luol Deng", 80, 6-8, 220
"Boris Diaw", 80, 6-8, 215
"Dan Dickau", 72, 6-0, 190
"Kaniel Dickens", 80, 6-8, 215
