"Name", Height (Inches), Height(Feet-Inches), Weight
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Alvan Adams", 81, 6-9, 210
"Mark Aguirre", 78, 6-6, 232
"Danny Ainge", 76, 6-4, 175
"Chuck Aleksinas", 83, 6-11, 260
"J.J. Anderson", 80, 6-8, 195
"Ron Anderson", 79, 6-7, 215
"John Bagley", 72, 6-0, 185
"James Bailey", 81, 6-9, 220
"Thurl Bailey", 83, 6-11, 215
"Greg Ballard", 79, 6-7, 215
"Gene Banks", 79, 6-7, 215
"Ken Bannister", 81, 6-9, 235
"Charles Barkley", 78, 6-6, 252
"Kent Benson", 82, 6-10, 235
"Larry Bird", 81, 6-9, 220
"Otis Birdsong", 75, 6-3, 190
"Rolando Blackman", 78, 6-6, 190
"Cory Blackwell", 78, 6-6, 210
"Sam Bowie", 85, 7-1, 235
"Dudley Bradley", 78, 6-6, 195
"Mike Bratz", 74, 6-2, 185
"Randy Breuer", 87, 7-3, 230
"Ron Brewer", 76, 6-4, 180
"Frank Brickowski", 81, 6-9, 240
"Junior Bridgeman", 77, 6-5, 210
"Rickey Brown", 82, 6-10, 215
"Tony Brown", 78, 6-6, 185
"Wallace Bryant", 84, 7-0, 245
"Quinn Buckner", 75, 6-3, 190
"Steve Burtt", 74, 6-2, 185
"Don Buse", 76, 6-4, 190
"Michael Cage", 81, 6-9, 224
"Tony Campbell", 79, 6-7, 215
"Rick Carlisle", 77, 6-5, 210
"Antoine Carr", 81, 6-9, 225
"Kenny Carr", 79, 6-7, 220
"M.L. Carr", 78, 6-6, 205
"Butch Carter", 77, 6-5, 180
"Howard Carter", 77, 6-5, 215
"Harvey Catchings", 81, 6-9, 218
"Ron Cavenall", 85, 7-1, 230
"Tom Chambers", 82, 6-10, 220
"Maurice Cheeks", 73, 6-1, 180
"Carlos Clark", 76, 6-4, 210
"Don Collins", 78, 6-6, 190
"Steve Colter", 75, 6-3, 165
"Lester Conner", 76, 6-4, 180
"Darwin Cook", 75, 6-3, 184
"Jeff Cook", 82, 6-10, 215
"Joe Cooper", 82, 6-10, 230
"Michael Cooper", 77, 6-5, 170
"Wayne Cooper", 82, 6-10, 220
"Dave Corzine", 83, 6-11, 250
"Charlie Criss", 68, 5-8, 165
"Pat Cummings", 81, 6-9, 230
"Terry Cummings", 81, 6-9, 220
"Earl Cureton", 81, 6-9, 210
"Quintin Dailey", 75, 6-3, 180
"Adrian Dantley", 77, 6-5, 208
"Brad Davis", 75, 6-3, 180
"Charles Davis", 79, 6-7, 215
"Johnny Davis", 74, 6-2, 170
"Walter Davis", 78, 6-6, 193
"Darryl Dawkins", 83, 6-11, 251
"Darren Daye", 80, 6-8, 220
"James Donaldson", 86, 7-2, 275
"John Drew", 78, 6-6, 205
"Larry Drew", 73, 6-1, 170
"Clyde Drexler", 79, 6-7, 210
"Mike Dunleavy", 75, 6-3, 180
"T.R. Dunn", 76, 6-4, 192
"Devin Durrant", 79, 6-7, 200
"Mark Eaton", 88, 7-4, 275
"Jerry Eaves", 76, 6-4, 180
